cell_id,patch_action,replacement_cell_id,manual_decision,patch_rationale,claim_boundary
TP_0612,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0090,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0681,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0610,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0373,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0611,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0590,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0171,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0102,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0767,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0359,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0939,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0169,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0649,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0099,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0003,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0589,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0119,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0159,kept,,keep,manual keep,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0199,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0859,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0887,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0831,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0888,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0860,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0945,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0915,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0974,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0572,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0774,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0943,replaced,TP_0001,exclude,exclude: replaced TP_0943 with TP_0001 while preserving role spatial_gap_fill,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0946,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0973,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0571,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0832,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0917,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0570,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0197,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0110,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0255,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0632,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0944,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0546,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0603,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0538,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0568,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0074,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0227,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0139,kept_review,,not_reviewed,manual_decision=not_reviewed; auto_status=REVIEW,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
