time,temperature_2m,relative_humidity_2m,wind_speed_10m_ms,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,cell_id,lat,lon,building_density,road_fraction,gvi_percent,svf,shade_fraction,park_distance_m,elderly_proxy,outdoor_exposure_proxy,land_use_hint,tair_local_c,wind_local_ms,tmrt_proxy_c,utci_c,wbgt_proxy_c,wbgt_category_sg,utci_category,wbgt_moderate_or_high,wbgt_high,utci_strong_or_higher
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_011,1.3302,103.8615,0.486,0.329,18.53,0.507,0.398,646.0,0.226,0.569,mixed,28.3537375,1.0181379179999999,27.89557822,29.375982678173923,27.00619710403744,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_012,1.3302,103.8641,0.465,0.371,11.84,0.656,0.349,788.0,0.16,0.354,mixed,28.552849999999996,1.18434036,28.317572879999997,29.586611553333977,27.207811985206725,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_013,1.3324,103.8485,0.51,0.351,10.93,0.51,0.303,723.0,0.163,0.434,HDB/residential,28.576225,1.0109378999999998,28.3617966,29.714696521322224,27.241260834067216,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_014,1.3324,103.8511,0.494,0.332,20.49,0.587,0.479,592.0,0.084,0.527,mixed,28.3051125,1.0980745019999998,27.781115126666666,29.25240068491427,26.949832041348344,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_015,1.3324,103.8537,0.512,0.467,9.92,0.565,0.378,651.0,0.237,0.72,HDB/residential,28.6645625,1.06695792,28.473241566666665,29.78206525980819,27.32669858148708,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_016,1.3324,103.8563,0.552,0.167,17.5,0.39,0.48,918.0,0.21,0.382,HDB/residential,28.378625,0.8708599199999999,27.929129,29.491998938249584,27.039592456056944,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_017,1.3324,103.8589,0.514,0.23,3.11,0.518,0.263,971.0,0.134,0.636,HDB/residential,28.6582875,1.0174816679999998,28.685835846666667,29.904332199645044,27.33719261973156,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_018,1.3324,103.8615,0.463,0.274,15.44,0.425,0.433,849.0,0.1,0.372,mixed,28.40585,0.9414368249999999,28.027889000000002,29.509545360055622,27.0669044150395,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_019,1.3324,103.8641,0.508,0.393,4.74,0.372,0.37,920.0,0.193,0.572,HDB/residential,28.759375,0.8688351839999999,28.7069878,30.056664246391257,27.440031115400398,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_020,1.3346,103.8485,0.462,0.349,12.85,0.474,0.511,726.0,0.12,0.609,mixed,28.4846375,0.9935866920000002,28.17616478,29.5898143684383,27.14601382393903,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_021,1.3346,103.8511,0.455,0.363,17.24,0.478,0.491,639.0,0.221,0.758,mixed,28.3681125,1.0007279099999997,27.931388793333333,29.410181865187283,27.022676354449064,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_022,1.3346,103.8537,0.5,0.21,6.56,0.435,0.348,823.0,0.194,0.549,mixed,28.560499999999998,0.9372824999999999,28.4626736,29.795520705438644,27.237344429462702,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_023,1.3346,103.8563,0.521,0.356,9.47,0.827,0.415,627.0,0.126,0.688,HDB/residential,28.5785,1.3327858529999999,28.4168366,29.57051215780818,27.230547050893005,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_024,1.3346,103.8589,0.501,0.327,13.36,0.537,0.356,478.0,0.158,0.733,HDB/residential,28.392725,1.0428688830000001,28.099318439999998,29.476749577015315,27.05379044854623,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_025,1.3346,103.8615,0.515,0.2,11.72,0.579,0.342,708.0,0.183,0.213,HDB/residential,28.43225,1.0800534149999996,28.19443136,29.521100815877247,27.09428205027723,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_026,1.3346,103.8641,0.514,0.375,16.28,0.666,0.349,494.0,0.206,0.592,HDB/residential,28.400725,1.170413916,28.033202680000002,29.381009154627122,27.050262318693196,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_027,1.3368,103.8485,0.52,0.55,13.65,0.666,0.468,802.0,0.164,0.621,HDB/residential,28.739562499999998,1.16741688,28.428844259999998,29.747565616898868,27.387685319534132,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_028,1.3368,103.8511,0.463,0.281,8.94,0.55,0.507,585.0,0.214,0.156,mixed,28.4396125,1.07341395,28.254565166666666,29.55641475170838,27.105260561058493,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_029,1.3368,103.8537,0.485,0.357,11.47,0.425,0.347,845.0,0.143,0.656,mixed,28.5761375,0.932785875,28.330205166666666,29.745701842883335,27.243518694709103,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_030,1.3368,103.8563,0.514,0.188,21.58,0.636,0.353,604.0,0.147,0.552,HDB/residential,28.190525,1.139414136,27.66041316,29.112561726772686,26.834466051679744,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_031,1.3368,103.8589,0.469,0.261,13.83,0.649,0.336,681.0,0.156,0.372,mixed,28.379824999999997,1.174987779,28.086560946666665,29.391847032941232,27.03420414227705,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_032,1.3368,103.8615,0.59,0.332,3.79,0.595,0.467,1026.0,0.184,0.472,HDB/residential,28.8196375,1.06146495,28.79935463333333,30.01887797987032,27.490631940079773,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_033,1.3368,103.8641,0.558,0.273,12.64,0.614,0.351,735.0,0.098,0.227,HDB/residential,28.538312500000004,1.0957117079999998,28.274669113333335,29.60665934706185,27.19623850320805,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_034,1.339,103.8485,0.479,0.23,19.38,0.411,0.426,707.0,0.252,0.178,mixed,28.272287499999997,0.9204625710000001,27.77600022,29.334044359868855,26.929014354087226,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_035,1.339,103.8511,0.556,0.301,5.54,0.559,0.362,868.0,0.263,0.484,HDB/residential,28.721375,1.040850636,28.663626493333332,29.91493898265076,27.392585738324936,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_036,1.339,103.8537,0.508,0.323,18.85,0.423,0.58,466.0,0.172,0.701,HDB/residential,28.2891875,0.9216697559999999,27.7867043,29.347371584413533,26.945189241279255,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_037,1.339,103.8563,0.518,0.19,9.78,0.476,0.345,966.0,0.198,0.367,HDB/residential,28.503825,0.972419112,28.313792733333333,29.675760277538483,27.173661147618645,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_038,1.339,103.8589,0.547,0.295,14.59,0.606,0.372,710.0,0.217,0.523,HDB/residential,28.4968625,1.0928038379999998,28.17024314,29.53783717078634,27.15154712947849,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_039,1.339,103.8615,0.496,0.309,17.43,0.493,0.472,702.0,0.169,0.662,mixed,28.393362500000002,0.9992663519999999,27.95510442,29.435566450546904,27.047520897274488,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_040,1.339,103.8641,0.532,0.395,17.2,0.551,0.482,693.0,0.196,0.514,HDB/residential,28.508237499999996,1.0435031879999999,28.07968280666666,29.52973691936375,27.158845940125207,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_041,1.3412,103.8511,0.496,0.348,11.95,0.772,0.335,749.0,0.238,0.625,mixed,28.549825,1.289779008,28.32514073333333,29.534246631002773,27.200325812319562,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_042,1.3412,103.8537,0.526,0.32,15.68,0.447,0.433,747.0,0.229,0.612,HDB/residential,28.4897125,0.939280398,28.106381019999997,29.59221549749215,27.149257974256884,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_043,1.3412,103.8563,0.455,0.214,18.52,0.51,0.394,806.0,0.192,0.389,mixed,28.2879,1.0346269499999998,27.830956800000003,29.301346770092874,26.94055308576098,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_044,1.3412,103.8589,0.471,0.289,9.05,0.385,0.326,922.0,0.196,0.627,mixed,28.547612500000003,0.896199465,28.373483033333336,29.77218360377112,27.222129194537025,low,moderate heat stress,False,False,False
2026-05-14 00:00:00+0800,27.93,87.1,1.68,8.0,5.2,2.8,70.5,TP_045,1.3412,103.8615,0.534,0.287,15.56,0.433,0.427,795.0,0.196,0.251,HDB/residential,28.4941125,0.9217138979999998,28.11412582,29.60861856767145,27.154805439882185,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_001,1.328,103.8511,0.516,0.289,19.08,0.726,0.44,738.0,0.259,0.442,HDB/residential,28.154175,1.3266454730000001,27.6090022,28.824303865105268,26.516103542534598,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_002,1.328,103.8537,0.471,0.313,13.97,0.503,0.423,629.0,0.094,0.563,mixed,28.17095,1.099326735875,27.775185803333333,29.028039274467844,26.553414093454627,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_003,1.328,103.8563,0.445,0.265,12.01,0.399,0.479,867.0,0.183,0.279,mixed,28.211812499999997,0.9921140556249999,27.87059673,29.15427736928237,26.60271596386268,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_004,1.328,103.8589,0.467,0.279,10.57,0.586,0.345,885.0,0.15,0.672,mixed,28.2760125,1.19542576725,27.987396266666668,29.13091663366784,26.658307462075285,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_005,1.328,103.8615,0.49,0.215,20.21,0.434,0.473,511.0,0.114,0.374,mixed,27.940875,1.0129696675,27.354555326666663,28.75861521029283,26.320369623832512,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_006,1.3302,103.8485,0.528,0.344,10.14,0.495,0.295,771.0,0.157,0.657,HDB/residential,28.396787500000002,1.0642130300000001,28.12089325,29.328414732322006,26.784258019135034,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_007,1.3302,103.8511,0.515,0.159,12.47,0.496,0.361,889.0,0.232,0.462,HDB/residential,28.1935875,1.0712656950000001,27.84516678,29.087930121428325,26.580108683828115,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_008,1.3302,103.8537,0.46,0.245,13.05,0.661,0.372,783.0,0.125,0.306,mixed,28.185124999999996,1.2843474925,27.82266162666666,28.96039936262553,26.560145589854177,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_009,1.3302,103.8563,0.545,0.348,10.19,0.635,0.408,779.0,0.198,0.815,HDB/residential,28.4223,1.2102434906250001,28.14340773333333,29.273941468187182,26.801549048243217,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_010,1.3302,103.8589,0.5,0.395,2.0,0.601,0.321,968.0,0.185,0.391,HDB/residential,28.573249999999998,1.1957199375,28.543150896666667,29.546917932592027,26.96612534245965,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_011,1.3302,103.8615,0.486,0.329,18.53,0.507,0.398,646.0,0.226,0.569,mixed,28.1237375,1.09692239975,27.59227268,28.9197223250492,26.49858787512875,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_012,1.3302,103.8641,0.465,0.371,11.84,0.656,0.349,788.0,0.16,0.354,mixed,28.322849999999995,1.275985745,27.997630719999997,29.119473890177026,26.697900701106082,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_013,1.3324,103.8485,0.51,0.351,10.93,0.51,0.303,723.0,0.163,0.434,HDB/residential,28.346225,1.0891652374999998,28.0466929,29.253160968957985,26.731873125787445,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_014,1.3324,103.8511,0.494,0.332,20.49,0.587,0.479,592.0,0.084,0.527,mixed,28.0751125,1.1830445527499998,27.483088156666668,28.796952742804287,26.442632933920446,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_015,1.3324,103.8537,0.512,0.467,9.92,0.565,0.378,651.0,0.237,0.72,HDB/residential,28.4345625,1.14952014,28.163532266666667,29.32185727215585,26.817133639224227,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_016,1.3324,103.8563,0.552,0.167,17.5,0.39,0.48,918.0,0.21,0.382,HDB/residential,28.148625,0.93824789,27.642501,29.046755882168696,26.533254503252934,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_017,1.3324,103.8589,0.514,0.23,3.11,0.518,0.263,971.0,0.134,0.636,HDB/residential,28.4282875,1.0962153685,28.365199586666666,29.4401135195405,26.827054780562502,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_018,1.3324,103.8615,0.463,0.274,15.44,0.425,0.433,849.0,0.1,0.372,mixed,28.17585,1.0142861031250001,27.73395975,29.059275917424994,26.559812644563358,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_019,1.3324,103.8641,0.508,0.393,4.74,0.372,0.37,920.0,0.193,0.572,HDB/residential,28.529374999999998,0.9360664780000001,28.4096282,29.606534397014006,26.93123484915832,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_020,1.3346,103.8485,0.462,0.349,12.85,0.474,0.511,726.0,0.12,0.609,mixed,28.2546375,1.0704713765,27.88839432,29.14122289281021,26.63883817706739,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_021,1.3346,103.8511,0.455,0.363,17.24,0.478,0.491,639.0,0.221,0.758,mixed,28.1381125,1.07816518875,27.641031573333333,28.96024708256751,26.51586408545392,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_022,1.3346,103.8537,0.5,0.21,6.56,0.435,0.348,823.0,0.194,0.549,mixed,28.330499999999997,1.0098103125000002,28.158443399999996,29.340607566413794,26.728880998616713,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_023,1.3346,103.8563,0.521,0.356,9.47,0.827,0.415,627.0,0.126,0.688,HDB/residential,28.3485,1.435918091625,28.095009150000003,29.100021925072124,26.720157719792105,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_024,1.3346,103.8589,0.501,0.327,13.36,0.537,0.356,478.0,0.158,0.733,HDB/residential,28.162725,1.123567070375,27.788773359999997,29.016645402238467,26.545486877657414,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_025,1.3346,103.8615,0.515,0.2,11.72,0.579,0.342,708.0,0.183,0.213,HDB/residential,28.20225,1.1636289768749999,27.87909534,29.05804392850256,26.585415838312684,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_026,1.3346,103.8641,0.514,0.375,16.28,0.666,0.349,494.0,0.206,0.592,HDB/residential,28.170725,1.2609816595,27.712544420000004,28.913792989375317,26.541038885897947,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_027,1.3368,103.8485,0.52,0.55,13.65,0.666,0.468,802.0,0.164,0.621,HDB/residential,28.509562499999998,1.25775271,28.124757939999995,29.288026968573188,26.877946975006097,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_028,1.3368,103.8511,0.463,0.281,8.94,0.55,0.507,585.0,0.214,0.156,mixed,28.2096125,1.15647574375,27.962200666666664,29.104056474234724,26.597842777824912,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_029,1.3368,103.8537,0.485,0.357,11.47,0.425,0.347,845.0,0.143,0.656,mixed,28.3461375,1.004965734375,28.026579416666667,29.29116976556267,26.735030851241298,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_030,1.3368,103.8563,0.514,0.188,21.58,0.636,0.353,604.0,0.147,0.552,HDB/residential,27.960525,1.227583087,27.34244704,28.6471543811374,26.326450085798207,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_031,1.3368,103.8589,0.469,0.261,13.83,0.649,0.336,681.0,0.156,0.372,mixed,28.149824999999996,1.2659094523749999,27.765333986666665,28.92428650090761,26.525033897039933,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_032,1.3368,103.8615,0.59,0.332,3.79,0.595,0.467,1026.0,0.184,0.472,HDB/residential,28.5896375,1.1436021187499998,28.49929178333333,29.563217676231094,26.98097147538463,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_033,1.3368,103.8641,0.558,0.273,12.64,0.614,0.351,735.0,0.098,0.227,HDB/residential,28.308312500000003,1.1804989235,27.958001653333337,29.142682738735914,26.6867628942069,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_034,1.339,103.8485,0.479,0.23,19.38,0.411,0.426,707.0,0.252,0.178,mixed,28.042287499999997,0.9916888413750001,27.482165679999998,28.884301078542904,26.422597890756375,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_035,1.339,103.8511,0.556,0.301,5.54,0.559,0.362,868.0,0.263,0.484,HDB/residential,28.491374999999998,1.1213926495,28.35228787333333,29.45451122110576,26.882702149486338,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_036,1.339,103.8537,0.508,0.323,18.85,0.423,0.58,466.0,0.172,0.701,HDB/residential,28.059187499999997,0.9929894394999998,27.509441699999996,28.90522332821604,26.43975185703493,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_037,1.339,103.8563,0.518,0.19,9.78,0.476,0.345,966.0,0.198,0.367,HDB/residential,28.273825,1.0476658289999998,28.006266933333333,29.21854268623873,26.665175775112647,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_038,1.339,103.8589,0.547,0.295,14.59,0.606,0.372,710.0,0.217,0.523,HDB/residential,28.2668625,1.17736603975,27.85693266,29.07546147980777,26.642485160872468,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_039,1.339,103.8615,0.496,0.309,17.43,0.493,0.472,702.0,0.169,0.662,mixed,28.1633625,1.076590534,27.66162298,28.98422583096636,26.540393878277833,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_040,1.339,103.8641,0.532,0.395,17.2,0.551,0.482,693.0,0.196,0.514,HDB/residential,28.278237499999996,1.1242504585,27.784098826666664,29.07650184331293,26.650959755385212,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_041,1.3412,103.8511,0.496,0.348,11.95,0.772,0.335,749.0,0.238,0.625,mixed,28.319824999999998,1.389583336,27.994778933333333,29.060516942838436,26.68958970591716,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_042,1.3412,103.8537,0.526,0.32,15.68,0.447,0.433,747.0,0.229,0.612,HDB/residential,28.2597125,1.01196280975,27.81107963,29.141363996775976,26.641691856957245,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_043,1.3412,103.8563,0.455,0.214,18.52,0.51,0.394,806.0,0.192,0.389,mixed,28.0579,1.1146873687499999,27.526964200000002,28.84442649881473,26.433174132492425,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_044,1.3412,103.8589,0.471,0.289,9.05,0.385,0.326,922.0,0.196,0.627,mixed,28.317612500000003,0.9655482331249999,28.070455133333336,29.3187832250612,26.713894630379585,low,moderate heat stress,False,False,False
2026-05-14 01:00:00+0800,27.7,84.4,1.81,2.0,1.3,0.7,58.8,TP_045,1.3412,103.8615,0.534,0.287,15.56,0.433,0.427,795.0,0.196,0.251,HDB/residential,28.2641125,0.9930369972499998,27.81901583,29.15825948644566,26.64726972502067,low,moderate heat stress,False,False,False
