lane_id,artifact_path,exists,status,key_result,claim_boundary,next_action
A-L2.1c,outputs/v11_systema_l2_residual/scoped_residual_preflight/A_L2_1C_STATUS.md,yes,A_L2_SCOPED_SIGNAL_PROMISING,Weak high-tail station-context signal; score residual not identifiable.,No station-adjusted WBGT and no local 100 m WBGT.,Keep Level 2 as explanatory sidecar.
A-L2.1c,outputs/v11_systema_l2_residual/scoped_residual_preflight/l2_scoped_residual_preflight_report.md,yes,A_L2_SCOPED_SIGNAL_PROMISING,High-tail residual has weak signal; score residual remains null under n=27 constraints.,"Coefficients descriptive, not causal and not correction factors.",Longer archive and better station metadata may be reviewed later.
A-L1H.0,outputs/v11_systema_l1_high_tail/residual_decomposition/high_tail_bias_report.md,yes,not_declared,Residual decomposition and high-tail miss inventory established the System A high-tail lane.,Diagnostic evidence only.,Inventory only; no recalibration in A-L1H.8.
A-L1H.0b,outputs/v11_systema_l1_high_tail/weather_regime_merge/A_L1H_0B_STATUS.md,yes,PASS,Weather-regime merge supported high-tail diagnostics.,Does not create local WBGT.,Inventory only.
A-L1H.0c,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/A_L1H_0C_STATUS.md,yes,PASS_FULL_PERIOD,Full-period weather-regime merge extended diagnostic context.,Does not change frozen contract.,Inventory only.
A-L1H.1,outputs/v11_systema_l1_high_tail/formula_proxy_audit/A_L1H_1_STATUS.md,yes,PASS,"Formula/proxy audit was a companion audit, not retroactive recalibration.",No station-adjusted WBGT.,Inventory only.
A-L1H.2,outputs/v11_systema_l1_high_tail/probability_threshold_calibration/A_L1H_2_STATUS.md,yes,PASS,Probability/threshold calibration preceded L1H4 companion package.,Diagnostic probability only.,Inventory only.
A-L1H.2b,outputs/v11_systema_l1_high_tail/level1_integration/A_L1H_2B_STATUS.md,yes,PASS,Level 1 integration consolidated high-tail evidence and boundaries.,No risk or hazard score.,Inventory only.
A-L1H.3,docs/v11/OpenHeat_SystemA_L1H3_high_tail_challenger_CN.md,yes,not_declared,High-tail benchmark informed companion decisions.,Benchmark evidence only.,Inventory only.
A-L1H.3,outputs/v11_systema_l1_high_tail/high_tail_challenger/A_L1H_3_STATUS.md,yes,PASS,High-tail challenger benchmark completed before L1H4.,No new production model in A-L1H.8.,Inventory only.
A-L2.0,outputs/v11_systema_l2_residual/identifiability_preflight/A_L2_0_STATUS.md,yes,PASS,Identifiability preflight motivated scoped station-context checks.,Preflight only.,Inventory only.
A-L2.1a,outputs/v11_systema_l2_residual/station_buffer_features_s1/A_L2_1A_S1_STATUS.md,yes,PASS_FEATURE_TABLE,Station feature source and buffer build created explanatory covariates.,Features do not produce correction layer.,Inventory only.
A-L2.1b,outputs/v11_systema_l2_residual/station_feature_qa/A_L2_1B_STATUS.md,yes,PASS_FEATURE_QA_READY_FOR_SCOPED_MODEL,Station feature QA narrowed context feature interpretation.,QA only; no causal or correction claim.,Inventory only.
