section,check_name,status,expected,observed,detail
n24_reuse,n24_existing_summary_unique_cells,PASS,"['TP_0037', 'TP_0059', 'TP_0088', 'TP_0098', 'TP_0115', 'TP_0141', 'TP_0154', 'TP_0254', 'TP_0301', 'TP_0326', 'TP_0366', 'TP_0409', 'TP_0433', 'TP_0492', 'TP_0542', 'TP_0565', 'TP_0575', 'TP_0627', 'TP_0676', 'TP_0773', 'TP_0835', 'TP_0857', 'TP_0960', 'TP_0986']","['TP_0037', 'TP_0059', 'TP_0088', 'TP_0098', 'TP_0115', 'TP_0141', 'TP_0154', 'TP_0254', 'TP_0301', 'TP_0326', 'TP_0366', 'TP_0409', 'TP_0433', 'TP_0492', 'TP_0542', 'TP_0565', 'TP_0575', 'TP_0627', 'TP_0676', 'TP_0773', 'TP_0835', 'TP_0857', 'TP_0960', 'TP_0986']",
n24_reuse,n24_run_log_completion,PASS,240 / 240,240 / 240,
inputs,run_matrix_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\configs\v12\v12_solweig_n150_new_run_matrix.csv,exists,
inputs,full_matrix_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\configs\v12\v12_solweig_n150_full_run_matrix.csv,exists,
inputs,selected_cells_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_systemb_n150_sample_design\n150_selected_cells.csv,exists,
inputs,new_cells_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_systemb_n150_sample_design\n150_new_cells.csv,exists,
inputs,n24_focus_summary_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\outputs\v12_solweig_n24_execution\n24_focus_tmrt_summary.csv,exists,
inputs,building_dsm_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\rasters\v10\dsm_buildings_2m_augmented_reviewed_heightqa.tif,exists,
inputs,vegetation_dsm_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\rasters\v08\dsm_vegetation_2m_toapayoh.tif,exists,
inputs,overhead_vector_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\features_3d\v10\overhead\overhead_structures_v10.geojson,exists,
inputs,grid_feature_path_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exists,
inputs,forcing_h16_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v09_met_forcing_2026_05_07_S128_h16.txt,exists,
inputs,forcing_h10_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v09_met_forcing_2026_05_07_S128_h10.txt,exists,
inputs,forcing_h12_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v09_met_forcing_2026_05_07_S128_h12.txt,exists,
inputs,forcing_h13_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v09_met_forcing_2026_05_07_S128_h13.txt,exists,
inputs,forcing_h15_exists,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v09_met_forcing_2026_05_07_S128_h15.txt,exists,
git_safety,b7_raw_output_root_under_allowed_path,PASS,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles,
git_safety,no_raw_output_is_staged,PASS,none,none,
git_safety,no_tif_tiff_or_svfs_zip_is_staged,PASS,none,none,
git_safety,b7_raw_output_root_has_no_tracked_files,PASS,none,none,
