candidate_path,target_column,required_or_optional,source_column,mapping_status,reason
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,expected_exceedance_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,prediction_interval_low_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,prediction_interval_high_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/live_smoke/live_smoke_validation.csv,lead_time_hours_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,timestamp_sgt,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,timestamp_utc,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,station_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,official_wbgt_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,wbgt_a_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,wbgt_a_model_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,wbgt_a_version,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,is_retrospective_or_prospective,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,quality_flag,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,p_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,p_ge31_model_id_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,p_ge31_threshold_policy_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,p_ge33_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,expected_exceedance_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,prediction_interval_low_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,prediction_interval_high_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/local_dry_smoke/local_dry_smoke_validation.csv,lead_time_hours_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,timestamp_sgt,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,timestamp_utc,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,station_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,official_wbgt_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,wbgt_a_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,wbgt_a_model_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,wbgt_a_version,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,is_retrospective_or_prospective,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,quality_flag,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,p_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,p_ge31_model_id_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,p_ge31_threshold_policy_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,p_ge33_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,expected_exceedance_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,prediction_interval_low_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,prediction_interval_high_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/metadata_patch/prospective_metadata_schema_smoke.csv,lead_time_hours_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,timestamp_sgt,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,timestamp_utc,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,station_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,official_wbgt_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,wbgt_a_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,wbgt_a_model_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,wbgt_a_version,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,is_retrospective_or_prospective,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,quality_flag,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,p_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,p_ge31_model_id_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,p_ge31_threshold_policy_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,p_ge33_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,expected_exceedance_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,prediction_interval_low_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,prediction_interval_high_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_eval_artifact_inventory.csv,lead_time_hours_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,timestamp_sgt,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,timestamp_utc,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,station_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,official_wbgt_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,wbgt_a_c,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,wbgt_a_model_id,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,wbgt_a_version,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,is_retrospective_or_prospective,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,quality_flag,required,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,p_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,p_ge31_model_id_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,p_ge31_threshold_policy_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,p_ge33_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,expected_exceedance_ge31_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,prediction_interval_low_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,prediction_interval_high_optional,optional,,MISSING,No exact column or safe alias.
outputs/v11_level1/prospective_eval/prospective_metadata_gap_audit.csv,lead_time_hours_optional,optional,,MISSING,No exact column or safe alias.
