column_name,role,predictor_tier,dtype,non_null_count,missing_fraction,source_file_guess,notes
n_open_pixels,feature,physical_core,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
svf_umep_mean_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
svf_umep_p10_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
svf_umep_p90_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_10_16_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_13_15_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_peak_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1000_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1100_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1200_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1300_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1400_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1500_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_1600_open_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
svf_umep_mean_all_with_veg,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_mean_height_all,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_max_height,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_mean_height_buildings_only,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
umep_dsm_resolution_m,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,constant or all-NaN column excluded from B8.2 predictors
umep_shadow_time_window,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,constant or all-NaN column excluded from B8.2 predictors
veg_canopy_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
svf_umep_selected,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_umep_selected,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
svf_source_v08,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/provenance field excluded from B8.2 predictors
shade_source_v08,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/provenance field excluded from B8.2 predictors
umep_morphology_notes,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,constant or all-NaN column excluded from B8.2 predictors
delta_svf_v08_minus_proxy,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
delta_shade_v08_minus_proxy,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
n_total_pixels_v10,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
n_building_pixels_v10,feature,physical_core,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
n_open_pixels_v10,feature,physical_core,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
building_pixel_fraction_v10,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
open_pixel_fraction_v10,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
building_area_m2_v10,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_building_height_mean_m_v10,feature,physical_core,float64,1340,0.10666666666666669,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_building_height_p50_m_v10,feature,physical_core,float64,1340,0.10666666666666669,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_building_height_p90_m_v10,feature,physical_core,float64,1340,0.10666666666666669,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dsm_building_height_max_m_v10,feature,physical_core,float64,1340,0.10666666666666669,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
