cell_id,lat,lon,land_use_hint,max_utci_c,mean_utci_c,max_wbgt_proxy_c,moderate_wbgt_hours,high_wbgt_hours,strong_utci_hours,gvi_percent,svf,shade_fraction,building_density,road_fraction,elderly_proxy,outdoor_exposure_proxy,hazard_score,vulnerability_score,exposure_score,risk_priority_score,rank
TP_032,1.3368,103.8615,HDB/residential,38.904194937713456,32.64537771933065,31.109757211369534,1,0,43,3.79,0.595,0.467,0.59,0.332,0.184,0.472,0.40054213072351696,0.5111111111111111,0.4222222222222222,0.42922500993746937,20
TP_036,1.339,103.8537,HDB/residential,36.88196070762029,31.567485565207733,30.43053371295546,0,0,36,18.85,0.423,0.58,0.508,0.323,0.172,0.701,0.30468504270748914,0.4444444444444444,0.9111111111111111,0.42779361536753213,21
TP_039,1.339,103.8615,mixed,37.93115412672367,31.94466090005731,30.63806227005587,0,0,39,17.43,0.493,0.472,0.496,0.309,0.169,0.662,0.3280320053812853,0.4222222222222222,0.8444444444444444,0.42715762111417466,22
TP_017,1.3324,103.8589,HDB/residential,40.0098854821616,32.89672519124928,31.100220865121337,2,0,43,3.11,0.518,0.263,0.514,0.23,0.134,0.636,0.41891373621503925,0.2,0.7777777777777778,0.42239318311999097,23
TP_034,1.339,103.8485,mixed,37.85126113153802,31.84904575677817,30.526183649346848,0,0,39,19.38,0.411,0.426,0.479,0.23,0.252,0.178,0.3154456605515204,0.9555555555555556,0.044444444444444446,0.4220207539863871,24
TP_016,1.3324,103.8563,HDB/residential,37.58237709186908,31.87852110713075,30.584336159479736,0,0,39,17.5,0.39,0.48,0.552,0.167,0.21,0.382,0.32198781794147036,0.7555555555555555,0.28888888888888886,0.41674355823482273,25
TP_023,1.3346,103.8563,HDB/residential,39.74443898609799,32.58550135587255,31.005205068127193,1,0,41,9.47,0.827,0.415,0.521,0.356,0.126,0.688,0.38878001460875367,0.17777777777777778,0.8888888888888888,0.41526583127964944,26
TP_004,1.328,103.8589,mixed,39.39198872083479,32.49515570159337,30.901659005962372,0,0,41,10.57,0.586,0.345,0.467,0.279,0.15,0.672,0.3576866381707669,0.26666666666666666,0.8666666666666667,0.4130990489992088,27
TP_037,1.339,103.8563,HDB/residential,39.00432386043528,32.434643064478834,30.85429829034124,0,0,41,9.78,0.476,0.345,0.518,0.19,0.198,0.367,0.35235855766338964,0.7,0.2,0.4094623057513016,28
TP_029,1.3368,103.8537,mixed,38.843366593037835,32.43499458998878,30.89520888978876,0,0,41,11.47,0.425,0.347,0.485,0.357,0.143,0.656,0.3569610001012353,0.2222222222222222,0.8,0.392426931173877,29
TP_028,1.3368,103.8511,mixed,37.985171511127795,32.04597960736113,30.686783616720813,0,0,39,8.94,0.55,0.507,0.463,0.281,0.214,0.156,0.3335131568810915,0.7777777777777778,0.022222222222222223,0.389000379488499,30
TP_045,1.3412,103.8615,HDB/residential,38.2014504301831,32.146322294800136,30.752348705036514,0,0,40,15.56,0.433,0.427,0.534,0.287,0.196,0.251,0.3408892293166078,0.6444444444444445,0.1111111111111111,0.37624021106518574,31
TP_043,1.3412,103.8563,mixed,38.41989004113578,31.99765057481306,30.605610912669086,0,0,39,18.52,0.51,0.394,0.455,0.214,0.192,0.389,0.32438122767527217,0.5555555555555556,0.3111111111111111,0.3755608056031132,32
TP_013,1.3324,103.8485,HDB/residential,39.49225658109038,32.60860832650504,30.97017600587825,0,0,41,10.93,0.51,0.303,0.51,0.351,0.163,0.434,0.36539480066130325,0.37777777777777777,0.35555555555555557,0.3667669986322302,33
TP_030,1.3368,103.8563,HDB/residential,39.05883953863885,32.05800128248348,30.597134166851063,0,0,40,21.58,0.636,0.353,0.514,0.188,0.147,0.552,0.32342759377074465,0.24444444444444444,0.5555555555555556,0.3400806636934172,34
TP_020,1.3346,103.8485,mixed,37.74682325512974,31.99725661070774,30.69484832622726,0,0,39,12.85,0.474,0.511,0.462,0.349,0.12,0.609,0.33442043670056665,0.13333333333333333,0.6666666666666666,0.33800733742101796,35
TP_025,1.3346,103.8615,HDB/residential,39.311878992515844,32.41946830008548,30.830240821695813,0,0,41,11.72,0.579,0.342,0.515,0.2,0.183,0.213,0.349652092440779,0.4777777777777778,0.06666666666666667,0.3366731862021719,36
TP_012,1.3302,103.8641,mixed,39.64973282470647,32.567414753644286,30.97046469374375,0,0,41,11.84,0.656,0.349,0.465,0.371,0.16,0.354,0.3654272780461719,0.35555555555555557,0.17777777777777778,0.33500935683307104,37
TP_003,1.328,103.8563,mixed,37.72795112726955,31.99888322045982,30.656248745317917,0,0,39,12.01,0.399,0.479,0.445,0.265,0.183,0.279,0.3300779838482657,0.4777777777777778,0.13333333333333333,0.3345372388748137,38
TP_031,1.3368,103.8589,mixed,39.53121554463277,32.395471441013896,30.8118449832998,0,0,41,13.83,0.649,0.336,0.469,0.261,0.156,0.372,0.3475825606212275,0.28888888888888886,0.23333333333333334,0.31694563202960546,39
TP_002,1.328,103.8537,mixed,38.36519172230785,32.10815103848577,30.69514386217904,0,0,40,13.97,0.503,0.423,0.471,0.313,0.094,0.563,0.3344536844951421,0.044444444444444446,0.5777777777777777,0.304250173275877,40
TP_014,1.3324,103.8511,mixed,38.016716876964146,31.842840874408754,30.574375761611265,0,0,39,20.49,0.587,0.479,0.494,0.332,0.084,0.527,0.3208672731812673,0.022222222222222223,0.5111111111111111,0.2807154871501635,41
TP_008,1.3302,103.8537,mixed,39.32150206572105,32.35681042862963,30.817993938589783,0,0,41,13.05,0.661,0.372,0.46,0.245,0.125,0.306,0.3482743180913506,0.15555555555555556,0.15555555555555556,0.2750411883277485,42
TP_018,1.3324,103.8615,mixed,38.03218805220052,32.02633305980758,30.65983675971509,0,0,39,15.44,0.425,0.433,0.463,0.274,0.1,0.372,0.33048163546794773,0.08888888888888889,0.23333333333333334,0.260343058434572,43
TP_033,1.3368,103.8641,HDB/residential,39.47626286335005,32.52879126945989,30.93725365014897,0,0,41,12.64,0.614,0.351,0.558,0.273,0.098,0.227,0.3616910356417593,0.06666666666666667,0.08888888888888889,0.2529151087645574,44
TP_005,1.328,103.8615,mixed,37.49319538143997,31.65283386073605,30.400947115867694,0,0,36,20.21,0.434,0.473,0.49,0.215,0.114,0.374,0.3013565505351157,0.1111111111111111,0.26666666666666666,0.2523966168873273,45
