cell_id,lat,lon,building_density,road_fraction,gvi_percent,svf,shade_fraction,park_distance_m,elderly_proxy,outdoor_exposure_proxy,land_use_hint,nearest_station_id,nearest_device_id,nearest_station_name,nearest_station_lat,nearest_station_lon,nearest_air_temperature_c,nearest_reading_type,nearest_reading_unit,nearest_relative_humidity_percent,nearest_reading_type_rhs,nearest_reading_unit_rhs,nearest_wind_speed_raw,nearest_wind_speed_ms,nearest_official_wbgt_c,nearest_station_distance_m
TP_024,1.3346,103.8589,0.501,0.327,13.36,0.537,0.356,478.0,0.158,0.733,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3266.2648416493544
TP_025,1.3346,103.8615,0.515,0.2,11.72,0.579,0.342,708.0,0.183,0.213,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2982.4363294667246
TP_026,1.3346,103.8641,0.514,0.375,16.28,0.666,0.349,494.0,0.206,0.592,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2699.7113463897485
TP_027,1.3368,103.8485,0.52,0.55,13.65,0.666,0.468,802.0,0.164,0.621,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3209.251359227824
TP_028,1.3368,103.8511,0.463,0.281,8.94,0.55,0.507,585.0,0.214,0.156,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3339.753546938523
TP_029,1.3368,103.8537,0.485,0.357,11.47,0.425,0.347,845.0,0.143,0.656,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3489.368067253022
TP_030,1.3368,103.8563,0.514,0.188,21.58,0.636,0.353,604.0,0.147,0.552,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3518.6100314466566
TP_031,1.3368,103.8589,0.469,0.261,13.83,0.649,0.336,681.0,0.156,0.372,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3231.0964524781252
TP_032,1.3368,103.8615,0.59,0.332,3.79,0.595,0.467,1026.0,0.184,0.472,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2943.87946734631
TP_033,1.3368,103.8641,0.558,0.273,12.64,0.614,0.351,735.0,0.098,0.227,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2657.0552595960003
TP_034,1.339,103.8485,0.479,0.23,19.38,0.411,0.426,707.0,0.252,0.178,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3433.25122487869
TP_035,1.339,103.8511,0.556,0.301,5.54,0.559,0.362,868.0,0.263,0.484,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3555.5411233038344
TP_036,1.339,103.8537,0.508,0.323,18.85,0.423,0.58,466.0,0.172,0.701,HDB/residential,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3696.431728568025
TP_037,1.339,103.8563,0.518,0.19,9.78,0.476,0.345,966.0,0.198,0.367,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3503.112845581593
TP_038,1.339,103.8589,0.547,0.295,14.59,0.606,0.372,710.0,0.217,0.523,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3214.2136024012684
TP_039,1.339,103.8615,0.496,0.309,17.43,0.493,0.472,702.0,0.169,0.662,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2925.3397590996556
TP_040,1.339,103.8641,0.532,0.395,17.2,0.551,0.482,693.0,0.196,0.514,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2636.499664671472
TP_041,1.3412,103.8511,0.496,0.348,11.95,0.772,0.335,749.0,0.238,0.625,mixed,S111,S111,Scotts Road,1.31055,103.8365,32.2,Air Temperature,deg C,66.5,Wet Bulb Globe Temperature,deg C,6.6,3.3953303999999997,31.4,3774.8480948905753
TP_042,1.3412,103.8537,0.526,0.32,15.68,0.447,0.433,747.0,0.229,0.612,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3793.464376382122
TP_043,1.3412,103.8563,0.455,0.214,18.52,0.51,0.394,806.0,0.192,0.389,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3504.663919647019
TP_044,1.3412,103.8589,0.471,0.289,9.05,0.385,0.326,922.0,0.196,0.627,mixed,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,3215.9042905112246
TP_045,1.3412,103.8615,0.534,0.287,15.56,0.433,0.427,795.0,0.196,0.251,HDB/residential,S43,S43,Kim Chuan Road,1.3399,103.8878,31.9,Air Temperature,deg C,70.2,Wet Bulb Globe Temperature,deg C,3.1,1.5947764,31.1,2927.197571576107
