source_table,source_path,column_name,dataset_column,dtype,non_null_count,missing_fraction,unique_count,classification,predictor_allowed,feature_group_hint,rejection_reason,leakage_guard,claim_boundary
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_density_missing,building_density_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_height_or_canyon_proxy_missing,building_height_or_canyon_proxy_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,road_or_hardscape_fraction_missing,road_or_hardscape_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,tree_or_gvi_fraction_missing,tree_or_gvi_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,grass_fraction_missing,grass_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,water_edge_or_water_fraction_missing,water_edge_or_water_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,overhead_fraction_missing,overhead_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,impervious_or_built_fraction_missing,impervious_or_built_fraction_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_x_normalized_missing,centroid_x_normalized_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_y_normalized_missing,centroid_y_normalized_missing,bool,981,0.0,1,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,svf_or_open_sky_q01,svf_or_open_sky_q01,float64,981,0.0,981,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,shade_fraction_q01,shade_fraction_q01,float64,981,0.0,975,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_density_q01,building_density_q01,float64,981,0.0,895,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_height_or_canyon_proxy_q01,building_height_or_canyon_proxy_q01,float64,981,0.0,77,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,road_or_hardscape_fraction_q01,road_or_hardscape_fraction_q01,float64,981,0.0,715,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,tree_or_gvi_fraction_q01,tree_or_gvi_fraction_q01,float64,981,0.0,165,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,grass_fraction_q01,grass_fraction_q01,float64,981,0.0,50,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,water_edge_or_water_fraction_q01,water_edge_or_water_fraction_q01,float64,981,0.0,127,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,overhead_fraction_q01,overhead_fraction_q01,float64,981,0.0,396,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,impervious_or_built_fraction_q01,impervious_or_built_fraction_q01,float64,981,0.0,906,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_x_normalized_q01,centroid_x_normalized_q01,float64,981,0.0,27,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,centroid_y_normalized_q01,centroid_y_normalized_q01,float64,981,0.0,32,metadata,False,sampling_diagnostic_metadata,Sampling imputation/bin diagnostic column; not primary evidence predictor.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,cell_id,cell_id,string,986,0.0,986,metadata,False,id_or_split_metadata,"Identifier, split, or lane metadata; not a predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,centroid_x,cu__centroid_x,float64,986,0.0,29,metadata,False,coordinate_context_diagnostic,Coordinates are for spatial diagnostics/bins only.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,centroid_y,cu__centroid_y,float64,986,0.0,34,metadata,False,coordinate_context_diagnostic,Coordinates are for spatial diagnostics/bins only.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,lon,cu__lon,float64,986,0.0,986,metadata,False,coordinate_context_diagnostic,Coordinates are for spatial diagnostics/bins only.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,lat,cu__lat,float64,986,0.0,986,metadata,False,coordinate_context_diagnostic,Coordinates are for spatial diagnostics/bins only.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,geometry_available,cu__geometry_available,bool,986,0.0,1,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,in_n24_completed,cu__in_n24_completed,bool,986,0.0,2,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,in_b2_2_replaced_out,cu__in_b2_2_replaced_out,bool,986,0.0,2,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,human_qa_exclusion_reason,cu__human_qa_exclusion_reason,object,5,0.9949290060851927,3,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,existing_solweig_n24_label_available,cu__existing_solweig_n24_label_available,bool,986,0.0,2,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,candidate_source_files,cu__candidate_source_files,object,986,0.0,2,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,transport_deck_fraction,cu__transport_deck_fraction,float64,986,0.0,214,future-required,False,future_risk_overlay,"Exposure/vulnerability context is future risk-overlay material, not a System B surrogate predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,distance_to_road,cu__distance_to_road,float64,0,1.0,0,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,primary_role,cu__primary_role,object,24,0.975659229208925,7,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,secondary_roles,cu__secondary_roles,object,21,0.9787018255578094,19,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,selection_tier,cu__selection_tier,object,24,0.975659229208925,2,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,evidence_summary,cu__evidence_summary,object,24,0.975659229208925,24,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,overhead_confounding_flag,cu__overhead_confounding_flag,object,986,0.0,3,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,overhead_interpretation,cu__overhead_interpretation,object,986,0.0,4,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,candidate_id,cu__candidate_id,object,12,0.9878296146044625,12,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,role,cu__role,object,12,0.9878296146044625,8,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,required,cu__required,object,12,0.9878296146044625,2,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,selection_status,cu__selection_status,object,12,0.9878296146044625,2,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,expected_direction,cu__expected_direction,object,12,0.9878296146044625,12,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,notes,cu__notes,object,12,0.9878296146044625,12,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,elderly_proxy,cu__elderly_proxy,float64,986,0.0,2,future-required,False,future_risk_overlay,"Exposure/vulnerability context is future risk-overlay material, not a System B surrogate predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,outdoor_exposure_proxy,cu__outdoor_exposure_proxy,float64,986,0.0,719,future-required,False,future_risk_overlay,"Exposure/vulnerability context is future risk-overlay material, not a System B surrogate predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,centroid_x_svy21,cu__centroid_x_svy21,float64,986,0.0,29,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,centroid_y_svy21,cu__centroid_y_svy21,float64,986,0.0,34,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,cell_area_m2,cu__cell_area_m2,float64,986,0.0,1,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,land_use_raw,cu__land_use_raw,object,986,0.0,17,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,land_use_fraction,cu__land_use_fraction,float64,986,0.0,889,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,gpr_area_weighted,cu__gpr_area_weighted,float64,986,0.0,653,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,nearest_park_name,cu__nearest_park_name,object,986,0.0,22,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,nearest_large_park_name,cu__nearest_large_park_name,object,986,0.0,4,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,nearest_water_name,cu__nearest_water_name,object,67,0.9320486815415822,4,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,elderly_proxy_source,cu__elderly_proxy_source,object,986,0.0,1,future-required,False,future_risk_overlay,"Exposure/vulnerability context is future risk-overlay material, not a System B surrogate predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,outdoor_exposure_source,cu__outdoor_exposure_source,object,986,0.0,1,future-required,False,future_risk_overlay,"Exposure/vulnerability context is future risk-overlay material, not a System B surrogate predictor.",EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,forecast_spatial_note,cu__forecast_spatial_note,object,986,0.0,1,rejected,False,not_in_safe_contract,Not in the safe compact feature contract for B8.6c.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,gvi_source,cu__gvi_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,height_source,cu__height_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,tree_canopy_source,cu__tree_canopy_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,ndvi_source,cu__ndvi_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,svf_source,cu__svf_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,shade_fraction_source,cu__shade_fraction_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,impervious_source,cu__impervious_source,object,986,0.0,1,metadata,False,source_or_status_metadata,Source/path/status/note metadata is excluded from predictors.,EXCLUDED,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
