comparison_family,dataset_label,model,event_target,method,operating_point,threshold,Brier,F1,precision,recall,false_alarm_ratio,miss_rate,interpretability,temporal_stability,validation_scheme
Sprint_2C_event_score_mapping,hourly_max,L1_proxy_radiation,ge31,high_precision_screening,precision_70,31.3,,0.294314381270903,0.7357859531772575,0.1839464882943143,0.2642140468227424,0.8160535117056856,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_proxy_only,ge31,high_recall_screening,recall_90,28.4,,0.5114198257593595,0.3559488692232055,0.9080267558528428,0.6440511307767945,0.0919732441471571,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_proxy_only,ge31,best_F1_screening,best_F1,29.2,,0.5532064834390416,0.4780755176613885,0.6563545150501672,0.5219244823386114,0.3436454849498327,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_2C_event_score_mapping,hourly_max,L1_proxy_only,ge31,high_precision_screening,precision_70,30.1,,0.3455233291298865,0.7025641025641025,0.2290969899665551,0.2974358974358974,0.7709030100334449,deterministic score threshold in WBGT-score units,see Sprint 2C threshold_stability_summary,
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,logistic_score_calibration,best_F1_train,0.292,0.0637763495910806,0.5593869731800767,0.47940298507462686,0.6714046822742475,0.5205970149253731,0.3285953177257525,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,logistic_score_calibration_balanced,best_F1_train,0.756,0.11109051556115726,0.5619546247818499,0.4823247453565009,0.6730769230769231,0.5176752546434991,0.3269230769230769,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,isotonic_score_calibration,best_F1_train,0.288,0.06370537941520127,0.5592727272727273,0.4948519948519948,0.6429765886287625,0.5051480051480052,0.35702341137123744,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,empirical_bin_calibration,best_F1_train,0.254,0.06605456639242371,0.5555555555555556,0.5097765363128491,0.6103678929765887,0.49022346368715086,0.3896321070234114,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,logistic_score_calibration,best_F1_train,0.19,0.06244370018444527,0.6294277929155313,0.47046843177189407,0.9506172839506173,0.5295315682281059,0.04938271604938271,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,logistic_score_calibration_balanced,best_F1_train,0.67,0.1388900863631825,0.6328767123287671,0.47433264887063653,0.9506172839506173,0.5256673511293635,0.04938271604938271,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,isotonic_score_calibration,best_F1_train,0.26,0.06583741115744088,0.6328767123287671,0.47433264887063653,0.9506172839506173,0.5256673511293635,0.04938271604938271,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,empirical_bin_calibration,best_F1_train,0.15,0.06633305611684708,0.6218034993270526,0.462,0.9506172839506173,0.538,0.04938271604938271,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,logistic_score_calibration,best_F1_train,0.2192592592592593,0.062364640407067934,0.5672110552763818,0.45422535211267606,0.7550167224080268,0.545774647887324,0.24498327759197325,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,logistic_score_calibration_balanced,best_F1_train,0.697037037037037,0.11114331020955043,0.5664446558832857,0.4563106796116505,0.7466555183946488,0.5436893203883495,0.25334448160535117,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,isotonic_score_calibration,best_F1_train,0.27666666666666667,0.06130732178636999,0.5628363406141185,0.4528782475802343,0.7433110367892977,0.5471217524197657,0.25668896321070234,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M4_like_inertia_ridge,ge31,empirical_bin_calibration,best_F1_train,0.16481481481481483,0.06306600524105119,0.5759750390015601,0.4594325535092086,0.7717391304347826,0.5405674464907915,0.22826086956521738,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration,best_F1_train,0.3,0.06448975988677741,0.5582541358676522,0.48206686930091186,0.6630434782608695,0.5179331306990882,0.33695652173913043,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration_balanced,best_F1_train,0.7779999999999999,0.10907758237482922,0.5527065527065527,0.4813895781637717,0.6488294314381271,0.5186104218362283,0.3511705685618729,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,isotonic_score_calibration,best_F1_train,0.28200000000000003,0.0642226807676685,0.5572384642479746,0.48143639683505784,0.6613712374581939,0.5185636031649422,0.338628762541806,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,empirical_bin_calibration,best_F1_train,0.2,0.0675911913192831,0.5815831987075929,0.47393364928909953,0.7525083612040134,0.5260663507109005,0.24749163879598662,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration,best_F1_train,0.21,0.059569117035679395,0.6323119777158774,0.47789473684210526,0.934156378600823,0.5221052631578947,0.06584362139917696,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration_balanced,best_F1_train,0.69,0.13616473608062452,0.631432545201669,0.47689075630252103,0.934156378600823,0.523109243697479,0.06584362139917696,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,isotonic_score_calibration,best_F1_train,0.26,0.06029218688289475,0.631432545201669,0.47689075630252103,0.934156378600823,0.523109243697479,0.06584362139917696,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,empirical_bin_calibration,best_F1_train,0.16,0.06419104855113006,0.6239782016348774,0.4663951120162933,0.9423868312757202,0.5336048879837068,0.05761316872427984,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration,best_F1_train,0.2325925925925926,0.06240937452990005,0.5760661998726926,0.46505652620760535,0.7566889632107023,0.5349434737923947,0.24331103678929766,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration_balanced,best_F1_train,0.7074074074074075,0.10918395182537038,0.5740740740740742,0.4643595041322314,0.7516722408026756,0.5356404958677686,0.24832775919732442,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,isotonic_score_calibration,best_F1_train,0.29333333333333333,0.06124403706544668,0.5776777098745577,0.46941975953998955,0.7508361204013378,0.5305802404600104,0.2491638795986622,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,M7_like_compact_weather_ridge,ge31,empirical_bin_calibration,best_F1_train,0.15962962962962965,0.06422749658490348,0.5998176845943483,0.4711217183770883,0.8252508361204013,0.5288782816229117,0.17474916387959866,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,logistic_score_calibration,best_F1_train,0.312,0.06399891213285813,0.5623188405797103,0.4961636828644501,0.6488294314381271,0.5038363171355499,0.3511705685618729,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,logistic_score_calibration_balanced,best_F1_train,0.784,0.10834295453144724,0.5617977528089887,0.49584133077415227,0.6479933110367893,0.5041586692258477,0.3520066889632107,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,isotonic_score_calibration,best_F1_train,0.286,0.06491307248061647,0.5622956774427896,0.49710982658959535,0.6471571906354515,0.5028901734104047,0.3528428093645485,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,empirical_bin_calibration,best_F1_train,0.20400000000000001,0.06683704799684635,0.5831168831168831,0.47664543524416136,0.7508361204013378,0.5233545647558386,0.2491638795986622,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,logistic_score_calibration,best_F1_train,0.23,0.0612054000372963,0.6512301013024603,0.5022321428571429,0.9259259259259259,0.49776785714285715,0.07407407407407407,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,logistic_score_calibration_balanced,best_F1_train,0.72,0.13531652329082258,0.6522366522366523,0.5022222222222222,0.9300411522633745,0.49777777777777776,0.06995884773662552,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,isotonic_score_calibration,best_F1_train,0.27,0.06432592176263253,0.6511627906976745,0.503370786516854,0.9218106995884774,0.4966292134831461,0.07818930041152264,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,empirical_bin_calibration,best_F1_train,0.17,0.06578330922474211,0.6251691474966171,0.4657258064516129,0.9506172839506173,0.5342741935483871,0.04938271604938271,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,logistic_score_calibration,best_F1_train,0.27592592592592585,0.062336074575170035,0.5755735492577598,0.4824660633484163,0.7132107023411371,0.5175339366515838,0.28678929765886285,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,logistic_score_calibration_balanced,best_F1_train,0.7603703703703704,0.10851632021755957,0.580095432856169,0.4896432681242808,0.7115384615384616,0.5103567318757192,0.28846153846153844,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,isotonic_score_calibration,best_F1_train,0.28296296296296297,0.0615927445409816,0.5761904761904761,0.4856651376146789,0.7081939799331104,0.5143348623853211,0.29180602006688966,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_full_dynamic,ge31,empirical_bin_calibration,best_F1_train,0.16703703703703704,0.06353181143679502,0.5969604863221885,0.4689589302769819,0.8210702341137124,0.5310410697230181,0.17892976588628762,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,logistic_score_calibration,best_F1_train,0.24,0.06879461281687449,0.5616936817730731,0.46469622331691296,0.709866220735786,0.535303776683087,0.290133779264214,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,logistic_score_calibration_balanced,best_F1_train,0.726,0.11391912159301579,0.5578772802653399,0.46234194612424406,0.7031772575250836,0.5376580538757559,0.2968227424749164,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,isotonic_score_calibration,best_F1_train,0.278,0.06929843389688835,0.555261416280609,0.45947426067908,0.7015050167224081,0.5405257393209201,0.298494983277592,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,empirical_bin_calibration,best_F1_train,0.166,0.07065239916971792,0.5941676792223572,0.4666030534351145,0.8177257525083612,0.5333969465648855,0.18227424749163879,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,logistic_score_calibration,best_F1_train,0.19,0.06673259765589575,0.6109589041095891,0.45790554414784396,0.9176954732510288,0.5420944558521561,0.0823045267489712,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,logistic_score_calibration_balanced,best_F1_train,0.67,0.1384506330573814,0.6126373626373626,0.45979381443298967,0.9176954732510288,0.5402061855670103,0.0823045267489712,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,isotonic_score_calibration,best_F1_train,0.29,0.06946848276717717,0.6109589041095891,0.45790554414784396,0.9176954732510288,0.5420944558521561,0.0823045267489712,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,empirical_bin_calibration,best_F1_train,0.16,0.07066102232600807,0.6048387096774194,0.4491017964071856,0.9259259259259259,0.5508982035928144,0.07407407407407407,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,logistic_score_calibration,best_F1_train,0.27740740740740744,0.06658015036048359,0.5919220055710307,0.5071599045346062,0.7107023411371237,0.4928400954653938,0.28929765886287623,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,logistic_score_calibration_balanced,best_F1_train,0.7674074074074072,0.11425130367203531,0.5923611111111111,0.5065320665083135,0.7132107023411371,0.49346793349168644,0.28678929765886285,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,isotonic_score_calibration,best_F1_train,0.28592592592592597,0.06547584814006861,0.5915100904662491,0.5065554231227652,0.7107023411371237,0.4934445768772348,0.28929765886287623,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_radiation,ge31,empirical_bin_calibration,best_F1_train,0.15444444444444444,0.0671981786066319,0.5885211053750379,0.46208869814020026,0.810200668896321,0.5379113018597997,0.18979933110367894,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,logistic_score_calibration,best_F1_train,0.276,0.07000382467997675,0.5408090844570618,0.46979038224414305,0.637123745819398,0.530209617755857,0.362876254180602,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,logistic_score_calibration_balanced,best_F1_train,0.748,0.12778016883097076,0.5374387683694892,0.4620938628158845,0.6421404682274248,0.5379061371841155,0.35785953177257523,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,isotonic_score_calibration,best_F1_train,0.27,0.07025304763812559,0.5387900355871885,0.46902106567534074,0.632943143812709,0.5309789343246593,0.36705685618729095,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,empirical_bin_calibration,best_F1_train,0.188,0.073521918462606,0.545839636913767,0.42769084874348035,0.754180602006689,0.5723091512565197,0.24581939799331104,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,blocked_date_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,logistic_score_calibration,best_F1_train,0.29,0.07775669421728879,0.5660377358490566,0.4580152671755725,0.7407407407407407,0.5419847328244275,0.25925925925925924,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,logistic_score_calibration_balanced,best_F1_train,0.72,0.16303252058358234,0.5555555555555556,0.42483660130718953,0.8024691358024691,0.5751633986928104,0.19753086419753085,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,isotonic_score_calibration,best_F1_train,0.28,0.07802162495279785,0.5660377358490566,0.4580152671755725,0.7407407407407407,0.5419847328244275,0.25925925925925924,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,empirical_bin_calibration,best_F1_train,0.19,0.08003767888642589,0.5471447543160691,0.403921568627451,0.8477366255144033,0.596078431372549,0.1522633744855967,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,future_block_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,logistic_score_calibration,best_F1_train,0.267037037037037,0.06879746425582908,0.5487214927436076,0.46760895170789163,0.6638795986622074,0.5323910482921084,0.33612040133779264,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,logistic_score_calibration_balanced,best_F1_train,0.7474074074074074,0.12868636227969993,0.5442645539097486,0.46280023432923256,0.6605351170568562,0.5371997656707674,0.3394648829431438,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,isotonic_score_calibration,best_F1_train,0.27185185185185184,0.06842787855346273,0.545201668984701,0.4666666666666667,0.6555183946488294,0.5333333333333333,0.34448160535117056,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
Sprint_3B_probability_calibration,hourly_max,L1_proxy_only,ge31,empirical_bin_calibration,best_F1_train,0.19851851851851857,0.07108861962810736,0.5441265976871577,0.4277511961722488,0.7474916387959866,0.5722488038277512,0.2525083612040134,probability of official WBGT >=31 conditional on one existing score and retrospective split,summarized by blocked-date/future-block/station grouped variability,station_grouped_calibration
