cell_id,selected_priority_rank,rationale,priority_score,coverage_gap,similar_reference_cells,expected_role,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance,nearest_n150_distance_percentile,sampling_boundary,claim_boundary
TP_0858,13,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0226|TP_0438|TP_0286,typology_gap_fill,east_north,water,TP_0542,TP_0115,39.4294293520211,0.9831528279181708,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0851,14,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0183|TP_0569|TP_0050,typology_gap_fill,west_north,transport,TP_0542,TP_0676,32.71249630546033,0.9723225030084236,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0168,15,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0822|TP_0286|TP_0676,typology_gap_fill,east_south,transport,TP_0542,TP_0676,31.870125911507852,0.9711191335740073,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0460,16,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0575|TP_0059|TP_0366,typology_gap_fill,east_south,transport,TP_0542,TP_0366,29.30101497166992,0.9590854392298436,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0969,17,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0542|TP_0600|TP_0170,typology_gap_fill,west_north,transport,TP_0542,TP_0676,28.535837785687445,0.9578820697954272,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0153,18,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0584|TP_0380|TP_0257,typology_gap_fill,west_south,transport,TP_0433,TP_0492,23.897396539664772,0.9386281588447654,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0612,19,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0889|TP_0587|TP_0948,typology_gap_fill,west_north,transport,TP_0542,TP_0115,21.94729784864818,0.9302045728038508,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0581,20,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0542|TP_0600|TP_0587,typology_gap_fill,west_north,residential,TP_0542,TP_0115,21.8040219507803,0.927797833935018,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0090,21,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0403|TP_0318|TP_0552,typology_gap_fill,west_south,residential,TP_0542,TP_0115,21.229498170696537,0.9265944645006017,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0611,22,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0600|TP_0889|TP_0587,typology_gap_fill,west_north,transport,TP_0542,TP_0115,20.293188289593836,0.9193742478941035,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0590,23,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0587|TP_0948|TP_0889,typology_gap_fill,west_north,transport,TP_0542,TP_0115,20.24250193386033,0.9181708784596871,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0102,24,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0379|TP_0286|TP_0018,typology_gap_fill,west_south,residential,TP_0542,TP_0115,19.841769867411024,0.9133574007220217,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0099,25,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0864|TP_0053|TP_0936,typology_gap_fill,west_south,residential,TP_0542,TP_0115,18.982055100622993,0.9049338146811071,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0589,26,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0600|TP_0587|TP_0170,typology_gap_fill,west_north,transport,TP_0542,TP_0676,18.70000943195009,0.901323706377858,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0595,27,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,114.01093612228736,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0599|TP_0498|TP_0365,typology_gap_fill,west_north,transport,TP_0857,TP_0326,6.300436254512018,0.3898916967509025,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0211,28,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,112.3403652647718,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0293|TP_0226|TP_0676,typology_gap_fill,west_south,transport,TP_0141,TP_0676,15.316283206437745,0.8423586040914561,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0181,29,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,111.48681388473845,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0792|TP_0365|TP_0475,typology_gap_fill,west_south,residential,TP_0857,TP_0326,13.75540961846943,0.8098676293622142,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0534,30,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,111.32277970063551,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0365|TP_0475|TP_0599,typology_gap_fill,west_north,residential,TP_0857,TP_0326,5.624179272033762,0.32250300842358604,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0292,31,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,110.91879052544708,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0293|TP_0226|TP_0676,typology_gap_fill,west_south,residential,TP_0141,TP_0676,13.731493033088922,0.8074608904933814,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0137,32,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,110.81513965853658,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0108|TP_0237|TP_0208,typology_gap_fill,east_south,transport,TP_0857,TP_0326,5.019622816523711,0.25150421179302046,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0874,33,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,110.48729924618152,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0817|TP_0693|TP_0407,typology_gap_fill,west_north,residential,TP_0857,TP_0326,6.8813703725497435,0.45246690734055356,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0674,34,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast,109.93150965849918,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast,TP_0378|TP_0349|TP_0822,typology_gap_fill,west_north,civic_institutional,TP_0141,TP_0366,33.334767526890964,0.9747292418772563,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0003,35,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,109.37944291130924,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0960|TP_0711|TP_0986,typology_gap_fill,west_south,transport,TP_0857,TP_0960,17.60409293238474,0.8784596871239471,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0787,36,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,109.27721890240008,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0986|TP_0565|TP_0028,typology_gap_fill,west_north,transport,TP_0857,TP_0986,6.4579972918327115,0.4139590854392298,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0649,37,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast,108.96565027443471,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast,TP_0438|TP_0226|TP_0293,typology_gap_fill,west_north,civic_institutional,TP_0141,TP_0676,19.063001501998816,0.9073405535499398,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0234,38,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,108.82711958037244,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0960|TP_0986|TP_0565,typology_gap_fill,west_south,residential,TP_0857,TP_0960,7.782665739877294,0.516245487364621,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0042,39,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,108.68817182406946,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0565|TP_0986|TP_0028,typology_gap_fill,west_south,residential,TP_0857,TP_0565,15.869944135773453,0.8580024067388689,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0116,40,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,108.31627382182525,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0565|TP_0028|TP_0207,typology_gap_fill,east_south,transport,TP_0141,TP_0565,7.95827420053643,0.5306859205776173,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0017,41,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,108.11748910037429,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0365|TP_0475|TP_0808,typology_gap_fill,east_south,transport,TP_0857,TP_0676,6.48156690085592,0.41636582430806257,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0886,42,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.97399739280624,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0718|TP_0170|TP_0365,typology_gap_fill,east_north,water,TP_0857,TP_0676,6.671512529708034,0.43441636582430804,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0145,43,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.90649748603474,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0418|TP_0208|TP_0108,typology_gap_fill,east_south,transport,TP_0857,TP_0326,6.320945913383979,0.3971119133574007,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0440,44,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.65268619280828,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0438|TP_0226|TP_0293,typology_gap_fill,west_south,residential,TP_0141,TP_0676,7.237616866868996,0.48856799037304455,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0734,45,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.64668624198949,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0718|TP_0170|TP_0747,typology_gap_fill,west_north,transport,TP_0857,TP_0326,5.557001314727147,0.3200962695547533,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0880,46,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.40253935675265,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0936|TP_0183|TP_0454,typology_gap_fill,west_north,transport,TP_0141,TP_0676,12.503287172308525,0.7653429602888087,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0245,47,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.37410815302387,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0565|TP_0960|TP_0711,typology_gap_fill,west_south,residential,TP_0857,TP_0565,9.726950968347243,0.6462093862815884,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0107,48,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,107.33528226563683,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0718|TP_0365|TP_0135,typology_gap_fill,east_south,transport,TP_0857,TP_0326,6.9518572192886845,0.4620938628158845,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0274,49,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,106.95401217737782,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0207|TP_0711|TP_0565,typology_gap_fill,west_south,transport,TP_0857,TP_0565,9.30447793730484,0.618531889290012,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0287,50,weak_spatial_bin; weak_typology_spatial_bin; high_overhead_or_shade_svf_contrast; problem_typology,106.64686537913862,weak_spatial_bin|weak_typology_spatial_bin|high_overhead_or_shade_svf_contrast|problem_typology,TP_0365|TP_0475|TP_0718,typology_gap_fill,east_south,transport,TP_0141,TP_0676,7.36552709095141,0.49458483754512633,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
