asset_type,logical_name,expected_path,exists,required_for_execution,commit_safe,notes
raster_tile,TP_0037_dem,data/solweig/v12_n24_tiles/TP_0037/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0037_vegetation_base,data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0037_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0037_wall_height,data/solweig/v12_n24_tiles/TP_0037/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0037_wall_aspect,data/solweig/v12_n24_tiles/TP_0037/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0037_svf_base,data/solweig/v12_n24_tiles/TP_0037/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0037_svf_overhead,data/solweig/v12_n24_tiles/TP_0037/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0059_focus_cell,data/solweig/v12_n24_tiles/TP_0059/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0059_dsm_buildings,data/solweig/v12_n24_tiles/TP_0059/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0059_dem,data/solweig/v12_n24_tiles/TP_0059/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0059_vegetation_base,data/solweig/v12_n24_tiles/TP_0059/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0059_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0059/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0059_wall_height,data/solweig/v12_n24_tiles/TP_0059/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0059_wall_aspect,data/solweig/v12_n24_tiles/TP_0059/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0059_svf_base,data/solweig/v12_n24_tiles/TP_0059/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0059_svf_overhead,data/solweig/v12_n24_tiles/TP_0059/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0088_focus_cell,data/solweig/v12_n24_tiles/TP_0088/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0088_dsm_buildings,data/solweig/v12_n24_tiles/TP_0088/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0088_dem,data/solweig/v12_n24_tiles/TP_0088/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0088_vegetation_base,data/solweig/v12_n24_tiles/TP_0088/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0088_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0088/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0088_wall_height,data/solweig/v12_n24_tiles/TP_0088/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0088_wall_aspect,data/solweig/v12_n24_tiles/TP_0088/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0088_svf_base,data/solweig/v12_n24_tiles/TP_0088/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0088_svf_overhead,data/solweig/v12_n24_tiles/TP_0088/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0098_focus_cell,data/solweig/v12_n24_tiles/TP_0098/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0098_dsm_buildings,data/solweig/v12_n24_tiles/TP_0098/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0098_dem,data/solweig/v12_n24_tiles/TP_0098/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0098_vegetation_base,data/solweig/v12_n24_tiles/TP_0098/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0098_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0098/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0098_wall_height,data/solweig/v12_n24_tiles/TP_0098/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0098_wall_aspect,data/solweig/v12_n24_tiles/TP_0098/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0098_svf_base,data/solweig/v12_n24_tiles/TP_0098/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0098_svf_overhead,data/solweig/v12_n24_tiles/TP_0098/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0115_focus_cell,data/solweig/v12_n24_tiles/TP_0115/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0115_dsm_buildings,data/solweig/v12_n24_tiles/TP_0115/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0115_dem,data/solweig/v12_n24_tiles/TP_0115/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0115_vegetation_base,data/solweig/v12_n24_tiles/TP_0115/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0115_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0115/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0115_wall_height,data/solweig/v12_n24_tiles/TP_0115/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0115_wall_aspect,data/solweig/v12_n24_tiles/TP_0115/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0115_svf_base,data/solweig/v12_n24_tiles/TP_0115/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0115_svf_overhead,data/solweig/v12_n24_tiles/TP_0115/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0141_focus_cell,data/solweig/v12_n24_tiles/TP_0141/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0141_dsm_buildings,data/solweig/v12_n24_tiles/TP_0141/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0141_dem,data/solweig/v12_n24_tiles/TP_0141/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0141_vegetation_base,data/solweig/v12_n24_tiles/TP_0141/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0141_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0141/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0141_wall_height,data/solweig/v12_n24_tiles/TP_0141/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0141_wall_aspect,data/solweig/v12_n24_tiles/TP_0141/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0141_svf_base,data/solweig/v12_n24_tiles/TP_0141/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0141_svf_overhead,data/solweig/v12_n24_tiles/TP_0141/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0154_focus_cell,data/solweig/v12_n24_tiles/TP_0154/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0154_dsm_buildings,data/solweig/v12_n24_tiles/TP_0154/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0154_dem,data/solweig/v12_n24_tiles/TP_0154/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0154_vegetation_base,data/solweig/v12_n24_tiles/TP_0154/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0154_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0154/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0154_wall_height,data/solweig/v12_n24_tiles/TP_0154/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0154_wall_aspect,data/solweig/v12_n24_tiles/TP_0154/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0154_svf_base,data/solweig/v12_n24_tiles/TP_0154/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0154_svf_overhead,data/solweig/v12_n24_tiles/TP_0154/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0254_focus_cell,data/solweig/v12_n24_tiles/TP_0254/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0254_dsm_buildings,data/solweig/v12_n24_tiles/TP_0254/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0254_dem,data/solweig/v12_n24_tiles/TP_0254/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0254_vegetation_base,data/solweig/v12_n24_tiles/TP_0254/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0254_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0254/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0254_wall_height,data/solweig/v12_n24_tiles/TP_0254/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0254_wall_aspect,data/solweig/v12_n24_tiles/TP_0254/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0254_svf_base,data/solweig/v12_n24_tiles/TP_0254/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0254_svf_overhead,data/solweig/v12_n24_tiles/TP_0254/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0301_focus_cell,data/solweig/v12_n24_tiles/TP_0301/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0301_dsm_buildings,data/solweig/v12_n24_tiles/TP_0301/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0301_dem,data/solweig/v12_n24_tiles/TP_0301/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0301_vegetation_base,data/solweig/v12_n24_tiles/TP_0301/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0301_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0301/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0301_wall_height,data/solweig/v12_n24_tiles/TP_0301/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0301_wall_aspect,data/solweig/v12_n24_tiles/TP_0301/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0301_svf_base,data/solweig/v12_n24_tiles/TP_0301/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0301_svf_overhead,data/solweig/v12_n24_tiles/TP_0301/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0326_focus_cell,data/solweig/v12_n24_tiles/TP_0326/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0326_dsm_buildings,data/solweig/v12_n24_tiles/TP_0326/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0326_dem,data/solweig/v12_n24_tiles/TP_0326/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0326_vegetation_base,data/solweig/v12_n24_tiles/TP_0326/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0326_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0326/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0326_wall_height,data/solweig/v12_n24_tiles/TP_0326/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0326_wall_aspect,data/solweig/v12_n24_tiles/TP_0326/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0326_svf_base,data/solweig/v12_n24_tiles/TP_0326/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0326_svf_overhead,data/solweig/v12_n24_tiles/TP_0326/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0366_focus_cell,data/solweig/v12_n24_tiles/TP_0366/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0366_dsm_buildings,data/solweig/v12_n24_tiles/TP_0366/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0366_dem,data/solweig/v12_n24_tiles/TP_0366/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0366_vegetation_base,data/solweig/v12_n24_tiles/TP_0366/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0366_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0366/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0366_wall_height,data/solweig/v12_n24_tiles/TP_0366/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0366_wall_aspect,data/solweig/v12_n24_tiles/TP_0366/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0366_svf_base,data/solweig/v12_n24_tiles/TP_0366/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0366_svf_overhead,data/solweig/v12_n24_tiles/TP_0366/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0409_focus_cell,data/solweig/v12_n24_tiles/TP_0409/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0409_dsm_buildings,data/solweig/v12_n24_tiles/TP_0409/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0409_dem,data/solweig/v12_n24_tiles/TP_0409/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0409_vegetation_base,data/solweig/v12_n24_tiles/TP_0409/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0409_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0409/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0409_wall_height,data/solweig/v12_n24_tiles/TP_0409/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0409_wall_aspect,data/solweig/v12_n24_tiles/TP_0409/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0409_svf_base,data/solweig/v12_n24_tiles/TP_0409/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0409_svf_overhead,data/solweig/v12_n24_tiles/TP_0409/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0433_focus_cell,data/solweig/v12_n24_tiles/TP_0433/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0433_dsm_buildings,data/solweig/v12_n24_tiles/TP_0433/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0433_dem,data/solweig/v12_n24_tiles/TP_0433/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0433_vegetation_base,data/solweig/v12_n24_tiles/TP_0433/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0433_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0433/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0433_wall_height,data/solweig/v12_n24_tiles/TP_0433/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0433_wall_aspect,data/solweig/v12_n24_tiles/TP_0433/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0433_svf_base,data/solweig/v12_n24_tiles/TP_0433/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0433_svf_overhead,data/solweig/v12_n24_tiles/TP_0433/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0492_focus_cell,data/solweig/v12_n24_tiles/TP_0492/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0492_dsm_buildings,data/solweig/v12_n24_tiles/TP_0492/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0492_dem,data/solweig/v12_n24_tiles/TP_0492/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0492_vegetation_base,data/solweig/v12_n24_tiles/TP_0492/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0492_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0492/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0492_wall_height,data/solweig/v12_n24_tiles/TP_0492/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0492_wall_aspect,data/solweig/v12_n24_tiles/TP_0492/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0492_svf_base,data/solweig/v12_n24_tiles/TP_0492/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0492_svf_overhead,data/solweig/v12_n24_tiles/TP_0492/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0542_focus_cell,data/solweig/v12_n24_tiles/TP_0542/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0542_dsm_buildings,data/solweig/v12_n24_tiles/TP_0542/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0542_dem,data/solweig/v12_n24_tiles/TP_0542/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0542_vegetation_base,data/solweig/v12_n24_tiles/TP_0542/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0542_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0542/dsm_vegetation_tile_overhead_as_canopy.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0542_wall_height,data/solweig/v12_n24_tiles/TP_0542/wall_height.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0542_wall_aspect,data/solweig/v12_n24_tiles/TP_0542/wall_aspect.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
svf_zip,TP_0542_svf_base,data/solweig/v12_n24_tiles/TP_0542/svf_base/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
svf_zip,TP_0542_svf_overhead,data/solweig/v12_n24_tiles/TP_0542/svf_overhead_as_canopy/svfs.zip,no,yes,no,SVF zip path documented only; do not copy svfs.zip.
cell_geometry,TP_0565_focus_cell,data/solweig/v12_n24_tiles/TP_0565/focus_cell.geojson,no,yes,no,Existing N24 tile focus mask location if retained locally.
raster_tile,TP_0565_dsm_buildings,data/solweig/v12_n24_tiles/TP_0565/dsm_buildings_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0565_dem,data/solweig/v12_n24_tiles/TP_0565/dsm_dem_flat_tile.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
raster_tile,TP_0565_vegetation_base,data/solweig/v12_n24_tiles/TP_0565/dsm_vegetation_tile_base.tif,no,yes,no,Raster path documented only; missing/untracked is non-fatal for this package.
