run_id,cell_id,typology_label,typology_label_cn,pilot_tier,hour_sgt,scenario_id,forcing_id,run_status,qa_expected,notes
v12beta_core8_021,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_022,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_023,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_024,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_025,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_026,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_027,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_028,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_029,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_030,TP_0366,school_gate_bus_stop_waiting_node,学校门口+公交候车混合等待节点,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian relevance high; school/bus-stop mixed cell
v12beta_core8_031,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian shaded reference; 15% water caveat
v12beta_core8_032,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian shaded reference; 15% water caveat
v12beta_core8_033,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian shaded reference; 15% water caveat
v12beta_core8_034,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian shaded reference; 15% water caveat
v12beta_core8_035,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian shaded reference; 15% water caveat
v12beta_core8_036,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian shaded reference; 15% water caveat
v12beta_core8_037,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian shaded reference; 15% water caveat
v12beta_core8_038,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian shaded reference; 15% water caveat
v12beta_core8_039,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,pedestrian shaded reference; 15% water caveat
v12beta_core8_040,TP_0542,river_edge_shaded_walkway,河边树荫步道,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,pedestrian shaded reference; 15% water caveat
v12beta_core8_041,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_042,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_043,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_044,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_045,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_046,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_047,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_048,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_049,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_050,TP_0627,street_canyon_wall_adjacent_low_svf,街道峡谷/贴墙/低SVF走廊,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,stable street canyon; 6F vs 3F buildings; ~5m gap
v12beta_core8_051,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,high-rise residential estate; few green patches
v12beta_core8_052,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,high-rise residential estate; few green patches
v12beta_core8_053,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,high-rise residential estate; few green patches
v12beta_core8_054,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,high-rise residential estate; few green patches
v12beta_core8_055,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,high-rise residential estate; few green patches
v12beta_core8_056,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,high-rise residential estate; few green patches
v12beta_core8_057,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,high-rise residential estate; few green patches
v12beta_core8_058,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,high-rise residential estate; few green patches
v12beta_core8_059,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,high-rise residential estate; few green patches
v12beta_core8_060,TP_0326,stable_high_rise_residential_estate,稳定高层住宅小区,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,high-rise residential estate; few green patches
v12beta_core8_061,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,hardscape physical test; pedestrian relevance caveat
v12beta_core8_062,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,hardscape physical test; pedestrian relevance caveat
v12beta_core8_063,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,hardscape physical test; pedestrian relevance caveat
v12beta_core8_064,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,hardscape physical test; pedestrian relevance caveat
v12beta_core8_065,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,hardscape physical test; pedestrian relevance caveat
v12beta_core8_066,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,hardscape physical test; pedestrian relevance caveat
v12beta_core8_067,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,hardscape physical test; pedestrian relevance caveat
v12beta_core8_068,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,hardscape physical test; pedestrian relevance caveat
v12beta_core8_069,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,hardscape physical test; pedestrian relevance caveat
v12beta_core8_070,TP_0059,open_paved_hardscape_parking_lot,开阔硬质铺装/露天停车场,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,hardscape physical test; pedestrian relevance caveat
v12beta_core8_071,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,10,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_072,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,10,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_073,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,12,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_074,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,12,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_075,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,13,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_076,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,13,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_077,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,15,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_078,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,15,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_079,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,16,base,TBD_v10_epsilon_or_formal_hot_day,planned,base_physical_plausibility,Chuan Grove Open Field; vegetation time-vintage caveat
v12beta_core8_080,TP_0835,grass_park_green_mixed,草地/公园绿地 mixed,Core,16,overhead_as_canopy,TBD_v10_epsilon_or_formal_hot_day,planned,null_or_sensitivity_check,Chuan Grove Open Field; vegetation time-vintage caveat
