feature_name,source_column,source_role,source_path,feature_class,available,allowed_for_future_preflight_model,station_level_static,explicit_station_mapping,n_stations_available,leakage_check,notes,n_station_universe,station_coverage_rate
pairing_station_name,station_name,station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
pairing_station_lat,station_lat,station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
pairing_station_lon,station_lon,station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,station_metadata,True,True,True,True,27.0,allowed descriptive station-context field,,27,1.0
pairing_cell_id,cell_id,station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,forcing_pairing_metadata,True,True,True,True,1.0,allowed descriptive station-context field,"May describe station/weather pairing context, not causal correction.",27,0.037037037037037035
pairing_station_to_openmeteo_coord_delta_deg,station_to_openmeteo_coord_delta_deg,station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,forcing_pairing_metadata,True,True,True,True,27.0,allowed descriptive station-context field,"May describe station/weather pairing context, not causal correction.",27,1.0
pairing_n_stations_sharing_openmeteo_coord,n_stations_sharing_openmeteo_coord,station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,forcing_pairing_metadata,True,True,True,True,27.0,allowed descriptive station-context field,"May describe station/weather pairing context, not causal correction.",27,1.0
grid_v10_road_fraction,road_fraction,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_gvi_percent,gvi_percent,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_tree_canopy_fraction,tree_canopy_fraction,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_ndvi_mean,ndvi_mean,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_shade_fraction,shade_fraction,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_svf,svf,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_building_density,building_density,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_mean_building_height_m,mean_building_height_m,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_max_building_height_m,max_building_height_m,grid_v10_basic_morphology,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_building_pixel_fraction_v10,building_pixel_fraction_v10,grid_v10_umep_features,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_open_pixel_fraction_v10,open_pixel_fraction_v10,grid_v10_umep_features,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_svf_umep_mean_open_v10,svf_umep_mean_open_v10,grid_v10_umep_features,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
grid_v10_shade_fraction_umep_13_15_open_v10,shade_fraction_umep_13_15_open_v10,grid_v10_umep_features,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,morphology_proxy,True,True,True,True,1.0,explicit station-to-cell mapping available via pairing_cell_id,Do not use to infer station-level WBGT unless mapping is explicit; descriptive only in A-L2.0.,27,0.037037037037037035
official_wbgt_c,official_wbgt_c,configured_sources,multiple,forbidden_leakage,True,False,False,True,,forbidden leakage or claim-boundary field: official_wbgt,Inventoried only to enforce exclusion.,27,
heat_stress_category,heat_stress_category,configured_sources,multiple,forbidden_leakage,True,False,False,True,,forbidden leakage or claim-boundary field: heat_stress_category,Inventoried only to enforce exclusion.,27,
wbgt_residual_weather_only_c,wbgt_residual_weather_only_c,configured_sources,multiple,forbidden_leakage,True,False,False,True,,forbidden leakage or claim-boundary field: residual,Inventoried only to enforce exclusion.,27,
obs_ge31,obs_ge31,configured_sources,multiple,forbidden_leakage,True,False,False,True,,forbidden leakage or claim-boundary field: obs_ge,Inventoried only to enforce exclusion.,27,
obs_ge33,obs_ge33,configured_sources,multiple,forbidden_leakage,True,False,False,True,,forbidden leakage or claim-boundary field: obs_ge,Inventoried only to enforce exclusion.,27,
station_id_as_predictor,station_id_as_predictor,configured_sources,multiple,forbidden_leakage,True,False,False,True,,forbidden leakage or claim-boundary field: forbidden_leakage,Inventoried only to enforce exclusion.,27,
sensor_height_m,sensor_height_m,data_stations_dir,data/stations,unavailable,False,False,False,True,0.0,unavailable; not invented,Not found in configured sources.,27,0.0
instrument_siting_class,instrument_siting_class,data_stations_dir,data/stations,unavailable,False,False,False,True,0.0,unavailable; not invented,Not found in configured sources.,27,0.0
manual_station_shade_class,manual_station_shade_class,data_stations_dir,data/stations,unavailable,False,False,False,True,0.0,unavailable; not invented,Not found in configured sources.,27,0.0
station_maintenance_metadata,station_maintenance_metadata,data_stations_dir,data/stations,unavailable,False,False,False,True,0.0,unavailable; not invented,Not found in configured sources.,27,0.0
