dimension_id,dimension_name,audit_question,criticality,fail_condition,claim_boundary
D11,landcover mode,Is landcover disabled consistently?,core_protocol,Final/planned protocols mix disabled and enabled landcover.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D12,tile extent / tile buffer / tile resolution,What tile geometry convention is used?,tile_protocol,Final/planned protocols use materially incompatible tile buffers/resolutions.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D13,per-cell asset layout,What per-cell files/folders are expected?,tile_protocol,Final/planned protocol expects incompatible asset layouts.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D14,SVF artifact type,"Is SVF full-AOI raster, per-tile svfs.zip, generated in QGIS, or unknown?",scenario_svf,"Final labels use invalid/pure-building/pure-vegetation SVF, or planned N300 reuses base SVF for overhead.",B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D15,SOLWEIG parameters,Which stable SOLWEIG parameters are set?,core_protocol,Final/planned protocols use incompatible SOLWEIG scientific parameters.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D16,QGIS/UMEP algorithm id,Which SOLWEIG algorithm ID is used?,execution_protocol,Final/planned protocols use incompatible QGIS/UMEP algorithm IDs.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D17,forcing_day_id set,Which forcing-day IDs are included?,label_design,Final/planned protocols use incompatible forcing-day sets.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D18,hour_sgt set,Which SGT hours are included?,label_design,Final/planned protocols use incompatible hour sets.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D19,scenarios,Which scenarios are run?,label_design,Final/planned protocols use incompatible scenario sets.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D20,output target / Tmrt extraction convention,What SOLWEIG target is extracted?,label_definition,Final/planned protocols mix Tmrt conventions or convert to WBGT/risk.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D21,postrun label extraction convention,How are scenario rasters merged into labels?,label_definition,Final/planned protocols mix label extraction conventions.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
D22,pairwise delta formula,Which pairwise delta formula is used?,label_definition,Final/planned protocols mix delta direction or target metric.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
