candidate_order,cell_id,focus_cell_size_m,tile_buffer_m,tile_width_m,raster_resolution_m,expected_tile_pixels_x,expected_tile_pixels_y,tile_spec_status,tile_bounds_status,focus_cell_geojson,asset_folder,convention_source,claim_boundary
1,TP_0972,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
22,TP_0793,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0793/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0793,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
23,TP_0122,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0122/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0122,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
24,TP_0601,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0601/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0601,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
25,TP_0153,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0153/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0153,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
26,TP_0083,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0083/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0083,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
27,TP_0704,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0704/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0704,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
28,TP_0581,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0581/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0581,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
29,TP_0344,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0344/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0344,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
30,TP_0855,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0855/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0855,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
31,TP_0612,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0612/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0612,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
32,TP_0090,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0090/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0090,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
33,TP_0681,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0681/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0681,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
34,TP_0610,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0610/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0610,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
35,TP_0373,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0373/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0373,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
36,TP_0611,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0611/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0611,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
37,TP_0590,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0590/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0590,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
38,TP_0171,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0171/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0171,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
39,TP_0102,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0102/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0102,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
40,TP_0767,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0767/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0767,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
41,TP_0359,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0359/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0359,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
42,TP_0939,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0939/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0939,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
43,TP_0169,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0169/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0169,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
44,TP_0649,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0649/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0649,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
45,TP_0099,100.0,100.0,300.0,2.0,150,150,RECOVERED_FROM_V12_N24_N150_CONVENTION,PENDING_QGIS_OR_RASTERIO_DERIVATION_FROM_LOCKED_GRID,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0099/focus_cell.geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0099,configs/v12/v12_solweig_n24_execution_config.example.json and configs/v12/v12_solweig_n150_execution_config.example.json,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
